ion,x,y,z,vx,vy,vz,energy,elev,azim
 847, 325.00, 0.15, -38.59, 5930.31, -0.84, -31.02, 99.99, 89.70, 178.46 
848, 230.00, -85.23, 28.19, 48.83, -33.12, 6.05, 0.01, 55.42, 79.65
 848, 325.00, -92.40, 30.41, 5914.40, -414.54, 131.92, 99.99, 85.79, 72.35 
849, 230.00, -7.71, -96.26, 11.01, 27.46, 51.40, 0.01, 10.70, -28.11
 849, 325.00, -7.77, -105.85, 5903.62, -20.09, -562.91, 99.99, 84.55, 177.96 
850, 230.00, 78.33, 36.01, 57.54, -13.16, -5.82, 0.01, 75.96, 113.85
 850, 325.00, 82.54, 37.95, 5922.18, 283.35, 130.52, 99.99, 86.98, -65.27 
851, 230.00, 57.71, -23.94, 10.84, 58.20, 3.52, 0.01, 10.54, -86.54
 851, 325.00, 61.23, -24.52, 5927.27, 186.34, -48.56, 99.99, 88.14, -104.61 
852, 230.00, 1.05, -37.05, 39.93, -13.71, 41.66, 0.01, 42.32, 18.22
 852, 325.00, 0.63, -36.52, 5930.30, -12.15, -32.31, 99.99, 89.67, 159.39 
853, 230.00, -68.10, 47.18, 17.25, -9.60, 55.93, 0.01, 16.91, 9.74
 853, 325.00, -71.94, 51.39, 5921.16, -245.26, 221.82, 99.99, 86.80, 47.87 
854, 230.00, 71.00, -16.89, 6.55, -43.60, -39.67, 0.01, 6.34, 132.29
 854, 325.00, 72.20, -18.76, 5928.15, 139.19, -85.36, 99.99, 88.42, -121.52 
855, 230.00, -86.47, 21.89, 11.58, -1.39, 58.15, 0.01, 11.26, 1.37
 855, 325.00, -92.51, 25.21, 5916.51, -374.47, 156.05, 99.99, 86.08, 67.38 
856, 230.00, -3.93, 36.01, 51.29, -9.51, 28.21, 0.01, 59.87, 18.64
 856, 325.00, -4.31, 37.68, 5929.51, -17.73, 101.10, 99.99, 89.01, 9.94 
857, 230.00, 11.09, 5.59, 55.67, 17.61, -10.43, 0.01, 69.81, -120.64
 857, 630.00, 31.41, 12.94, 2631.39, 313.51, 122.30, 20.01, 82.71, -68.69 
858, 230.00, 2.03, -98.56, 35.80, 46.97, -5.48, 0.01, 37.13, -96.66
 858, 325.00, 3.75, -114.35, 5874.17, 67.05, -813.92, 100.00, 82.08, -175.29 
859, 230.00, 9.73, -75.99, 2.28, 26.24, 53.14, 0.01, 2.20, -26.28
 859, 325.00, 10.94, -77.38, 5928.02, 54.87, -158.62, 99.99, 88.38, -160.92 
860, 230.00, -51.95, -84.63, 22.08, 45.17, 31.45, 0.01, 21.86, -55.15
 860, 325.00, -59.71, -98.52, 5872.34, -412.42, -717.09, 99.99, 81.98, 150.10 
861, 230.00, 1.64, 0.62, 29.19, -25.71, -44.77, 0.01, 29.48, 150.14
 861, 630.00, 0.38, -5.17, 2652.05, -6.10, -67.91, 20.01, 88.53, 174.87 
862, 230.00, -6.10, -91.16, 56.88, 11.74, 12.01, 0.01, 73.55, -44.34
 862, 325.00, -6.22, -97.87, 5915.76, -16.25, -416.24, 99.99, 85.97, 177.76 
863, 230.00, 16.10, 17.23, 11.83, -9.33, -57.36, 0.01, 11.51, 170.76
 863, 325.00, 16.22, 15.83, 5930.04, 62.45, 13.91, 99.99, 89.38, -77.44 
864, 230.00, 57.33, 33.53, 23.05, 16.26, -52.17, 0.01, 22.87, -162.69
 864, 325.00, 59.62, 32.92, 5928.49, 148.54, 22.72, 99.99, 88.55, -81.30 
865, 230.00, 33.21, -62.28, 29.43, 51.49, 0.16, 0.01, 29.75, -89.82
 865, 325.00, 35.98, -64.43, 5926.75, 137.08, -156.22, 99.99, 87.99, -138.74 
866, 230.00, -18.78, -7.52, 23.37, -7.24, 54.03, 0.01, 23.21, 7.63
 866, 325.00, -19.53, -5.98, 5929.02, -131.89, 14.32, 100.00, 88.72, 83.80 
867, 230.00, 26.73, 4.65, 8.82, -22.10, -54.33, 0.01, 8.55, 157.86
 867, 325.00, 26.64, 3.01, 5929.94, 58.02, -44.08, 99.99, 89.30, -127.23 
868, 230.00, -30.89, -8.21, 6.31, -58.39, -8.29, 0.01, 6.11, 98.08
 868, 325.00, -33.42, -8.66, 5928.97, -127.52, -26.34, 99.99, 88.74, 101.67 
869, 230.00, 60.53, 70.99, 15.82, -56.65, 7.65, 0.01, 15.47, 82.30
 869, 325.00, 64.12, 77.46, 5913.05, 253.16, 375.76, 99.99, 85.62, -33.97 
870, 230.00, -16.54, -48.86, 58.64, 8.34, -3.07, 0.01, 81.38, -110.22
 870, 325.00, -16.67, -50.12, 5929.57, -22.88, -96.27, 99.99, 89.04, 166.63 
871, 230.00, 63.31, 18.52, 44.55, -30.17, 24.96, 0.01, 48.69, 50.40
 871, 325.00, 64.29, 19.87, 5928.94, 112.50, 68.02, 99.99, 88.73, -58.84 
872, 230.00, 42.08, 25.67, 25.92, -20.38, -49.30, 0.01, 25.92, 157.54
 872, 325.00, 42.40, 24.69, 5930.11, 58.09, -2.75, 99.99, 89.44, -92.71 
873, 230.00, -3.45, 87.86, 39.50, -26.45, -35.47, 0.01, 41.75, 143.29
 873, 325.00, -4.49, 92.33, 5921.85, -41.82, 315.63, 99.99, 86.92, 7.55 
874, 230.00, -29.92, 87.30, 40.58, -39.98, -16.50, 0.01, 43.17, 112.43
 874, 325.00, -33.62, 94.03, 5912.80, -190.70, 414.89, 99.99, 85.58, 24.69 
875, 230.00, 77.84, 56.69, 45.73, 37.74, -1.48, 0.01, 50.45, -92.24
 875, 325.00, 88.18, 63.35, 5893.62, 547.95, 368.13, 99.99, 83.61, -56.11 
876, 230.00, 0.45, -9.81, 35.03, 45.93, -13.44, 0.01, 36.20, -106.30
 876, 630.00, 8.11, -27.53, 2637.10, 97.03, -274.56, 20.01, 83.70, -160.54 
877, 230.00, -22.80, 88.81, 5.67, 52.55, -26.91, 0.01, 5.49, -117.12
 877, 325.00, -22.97, 94.93, 5917.24, -52.08, 391.69, 99.99, 86.18, 7.57 
878, 230.00, -45.72, -59.40, 34.64, 29.45, 38.09, 0.01, 35.73, -37.71
 878, 325.00, -46.55, -60.49, 5928.43, -93.12, -121.18, 99.99, 88.52, 142.46 
879, 230.00, 94.42, 16.91, 46.05, 37.05, -4.95, 0.01, 50.93, -97.60
 879, 325.00, 106.33, 18.69, 5894.83, 639.53, 102.16, 99.99, 83.73, -80.92 
880, 230.00, -46.02, -34.15, 37.67, -45.69, 3.29, 0.01, 39.43, 85.89
 880, 325.00, -48.67, -34.94, 5928.37, -140.40, -65.62, 99.99, 88.50, 115.05 
881, 230.00, -47.51, 38.65, 8.38, 46.35, -36.04, 0.01, 8.12, -127.87
 881, 325.00, -47.34, 38.57, 5930.01, -51.40, 43.54, 99.99, 89.35, 49.73 
882, 230.00, 64.37, -34.99, 12.96, 56.25, -13.64, 0.01, 12.62, -103.63
 882, 325.00, 68.57, -36.74, 5924.88, 231.69, -108.25, 99.99, 87.53, -115.04 
883, 230.00, -46.82, 76.89, 46.95, 35.05, -9.20, 0.01, 52.34, -104.70
 883, 325.00, -49.08, 82.09, 5918.85, -168.94, 328.71, 99.99, 86.43, 27.20 
884, 230.00, -39.69, 59.99, 43.68, -27.22, 29.48, 0.01, 47.43, 42.71
 884, 325.00, -41.98, 63.08, 5926.01, -131.39, 186.44, 99.99, 87.80, 35.17 
885, 230.00, 69.65, -41.67, 15.72, -53.88, 19.17, 0.01, 15.37, 70.42
 885, 325.00, 71.24, -43.02, 5927.04, 164.76, -112.28, 99.99, 88.07, -124.27 
886, 230.00, 20.74, -49.27, 15.34, -34.00, 46.11, 0.01, 14.99, 36.40
 886, 325.00, 20.16, -48.99, 5930.21, 4.72, -47.08, 99.99, 89.54, -174.28 
887, 230.00, 38.13, -19.98, 37.24, -14.63, 43.79, 0.01, 38.89, 18.47
 887, 325.00, 38.50, -19.03, 5930.12, 56.90, 7.65, 99.99, 89.45, -82.34 
888, 230.00, 64.35, 69.54, 4.97, 46.81, 36.08, 0.01, 4.81, -52.38
 888, 325.00, 72.46, 77.86, 5897.76, 429.33, 448.48, 99.99, 83.99, -43.75 
889, 230.00, 29.16, -9.01, 20.02, 5.18, -55.59, 0.01, 19.73, -174.67
 889, 325.00, 29.97, -10.99, 5929.40, 73.72, -79.56, 99.99, 88.95, -137.18 
890, 230.00, 52.64, 28.03, 52.21, 28.14, 0.37, 0.01, 61.67, -89.24
 890, 325.00, 54.96, 28.80, 5928.48, 138.65, 58.66, 99.99, 88.55, -67.07 
891, 230.00, -75.34, -37.33, 7.35, 58.02, 9.88, 0.01, 7.12, -80.33
 891, 325.00, -77.50, -38.98, 5925.80, -200.72, -119.30, 99.99, 87.74, 120.73 
892, 230.00, 45.75, 77.84, 34.07, 20.64, 43.94, 0.01, 35.06, -25.16
 892, 325.00, 49.82, 85.03, 5912.14, 231.63, 403.49, 99.99, 85.50, -29.86 
893, 230.00, -64.49, 57.00, 14.36, -15.92, 55.30, 0.01, 14.01, 16.07
 893, 325.00, -68.87, 62.15, 5917.88, -265.96, 278.60, 99.99, 86.28, 43.67 
